Date,Open,High,Low,Close,Volume,Adj Close
2014-08-11,3524.00,3583.70,3510.00,3573.50,1407100,1708.15
2014-08-08,3500.00,3520.00,3475.00,3482.64,952800,1664.719
2014-08-07,3499.00,3544.40,3482.36,3507.36,1938500,1676.535
2014-08-06,3525.00,3608.36,3525.00,3575.86,4501000,1709.279
2014-08-05,3476.00,3520.00,3470.06,3513.00,2746400,1679.231
2014-08-04,3355.00,3482.90,3349.30,3465.56,3271700,1656.555
2014-08-01,3350.00,3392.00,3330.00,3341.30,1901700,1597.158
2014-07-31,3380.00,3394.90,3343.20,3367.64,2114200,1609.748
2014-07-30,3394.00,3394.00,3345.60,3372.20,2483600,1611.928
2014-07-29,3371.10,3371.10,3371.10,3371.10,000,1611.402
2014-07-28,3345.00,3387.00,3320.86,3371.10,1150300,1611.402
2014-07-25,3399.00,3399.00,3304.70,3352.20,1334400,1602.368
2014-07-24,3344.00,3395.00,3321.44,3382.24,1392800,1616.727
2014-07-23,3249.00,3355.00,3249.00,3349.30,2872900,1600.982
2014-07-22,3205.00,3246.70,3198.06,3233.70,2183300,1545.724
2014-07-21,3255.00,3273.36,3188.10,3200.70,1858900,1529.95
2014-07-18,3253.00,3274.70,3243.60,3251.56,1024500,1554.262
2014-07-17,3260.10,3345.90,3231.64,3239.30,1236600,1548.401
2014-07-16,3240.00,3245.00,3203.24,3229.60,1147300,1543.765
2014-07-15,3239.00,3257.94,3217.06,3225.64,1034900,1541.872
2014-07-14,3315.00,3315.00,3185.80,3225.24,2057900,1541.68
2014-07-11,3401.40,3432.00,3300.36,3326.64,3956500,1590.15
2014-07-10,3315.00,3381.70,3250.60,3292.70,2836400,1573.927
2014-07-09,3330.00,3384.00,3290.00,3310.36,2067600,1582.368
2014-07-08,3349.00,3406.36,3303.06,3342.14,2865100,1597.559
2014-07-07,3265.00,3368.00,3260.00,3345.44,2909500,1599.137
2014-07-04,3200.06,3258.40,3200.06,3245.94,1438200,1551.575
2014-07-03,3210.20,3228.40,3190.50,3210.70,1876200,1534.73
2014-07-02,3212.00,3243.60,3198.20,3215.30,1529900,1536.929
2014-07-01,3245.00,3254.80,3206.00,3221.06,1165600,1539.682
2014-06-30,3220.00,3263.00,3211.40,3255.56,1822600,1556.174
2014-06-27,3200.00,3235.60,3172.00,3223.40,1722600,1540.801
2014-06-26,3220.00,3235.00,3168.76,3182.50,1844100,1521.251
2014-06-25,3245.00,3245.00,3206.00,3211.24,1608300,1534.988
2014-06-24,3230.00,3234.90,3192.14,3203.80,2659500,1531.432
2014-06-23,3300.00,3308.94,3221.44,3232.56,1582000,1545.179
2014-06-20,3320.00,3339.40,3292.86,3316.60,2213200,1585.351
2014-06-19,3245.86,3323.00,3245.10,3311.90,2828400,1583.104
2014-06-18,3245.00,3275.00,3212.76,3240.50,2447800,1548.975
2014-06-17,3249.00,3267.00,3218.56,3246.86,2519800,1552.015
2014-06-16,3186.00,3259.70,3180.00,3244.14,2343800,1550.715
2014-06-13,3188.50,3207.00,3131.06,3187.00,2537900,1523.402
2014-06-12,3280.00,3297.06,3120.70,3175.06,5282200,1517.694
2014-06-11,3105.00,3257.24,3090.36,3193.36,5093900,1526.442
2014-06-10,3000.00,3089.20,2996.36,3075.14,2619700,1469.932
2014-06-09,3006.00,3015.00,2976.10,2985.44,2641800,1427.055
2014-06-06,3000.14,3010.00,2950.00,3003.06,4220600,1435.477
2014-06-05,3000.00,3068.40,2962.00,3041.14,3038400,1453.68
2014-06-04,3015.00,3027.36,2953.50,2984.50,1377000,1426.606
2014-06-03,3008.00,3036.94,2974.76,3017.20,1706200,1442.236
2014-06-02,2960.50,2997.70,2960.50,2993.14,1557400,1430.735
2014-05-30,2940.00,2959.44,2880.00,2939.40,7008900,1405.047
2014-05-29,3025.00,3025.00,2915.00,2924.50,10335300,1397.925
2014-05-28,3123.50,3188.00,3118.00,3173.30,1347300,1475.744
2014-05-27,3100.00,3155.00,3099.50,3134.06,1246000,1457.496
2014-05-26,3071.00,3110.94,3050.14,3094.86,1437600,1439.266
2014-05-23,3125.00,3171.00,3012.14,3069.56,2270400,1427.50
2014-05-22,3160.00,3180.00,3081.14,3113.90,2458100,1448.12
2014-05-21,3118.00,3164.30,3099.06,3157.10,1697000,1468.211
2014-05-20,3049.00,3138.86,3042.20,3122.20,2196800,1451.98
2014-05-19,3198.00,3198.00,3000.10,3015.06,4311600,1402.155
2014-05-16,3299.00,3340.00,3059.06,3177.56,3547100,1477.726
2014-05-15,3254.10,3294.86,3205.24,3272.44,2102200,1521.85
2014-05-14,3250.24,3265.00,3217.14,3254.10,1296100,1513.321
2014-05-13,3183.00,3275.00,3183.00,3265.24,1824900,1518.501
2014-05-12,3118.20,3186.50,3105.06,3175.10,1761000,1476.582
2014-05-09,3065.00,3125.00,3052.86,3111.44,1544800,1446.976
2014-05-08,3070.00,3088.40,3046.44,3065.30,2290400,1425.519
2014-05-07,3151.00,3170.00,3050.00,3067.36,3899000,1426.477
2014-05-06,3176.90,3184.50,3155.00,3165.14,1141500,1471.95
2014-05-05,3192.00,3233.00,3174.56,3176.90,1049100,1477.419
2014-05-02,3185.00,3247.00,3185.00,3219.70,1191000,1497.323
2014-05-01,3180.80,3180.80,3180.80,3180.80,000,1479.232
2014-04-30,3177.64,3190.00,3171.00,3180.80,1935400,1479.232
2014-04-29,3183.00,3195.00,3171.00,3177.76,1208800,1477.819
2014-04-28,3169.00,3193.00,3165.00,3178.06,1510600,1477.958
2014-04-25,3188.00,3200.00,3163.36,3175.60,1490700,1476.814
2014-04-24,3172.64,3172.64,3172.64,3172.64,000,1475.437
2014-04-23,3174.06,3191.86,3164.00,3172.64,3004100,1475.437
2014-04-22,3172.06,3200.00,3142.40,3150.64,1656700,1465.206
2014-04-21,3210.00,3220.00,3170.00,3182.94,1529900,1480.227
2014-04-18,3192.06,3192.06,3192.06,3192.06,000,1484.469
2014-04-17,3180.00,3210.06,3158.36,3192.06,2097900,1484.469
2014-04-16,3241.94,3241.94,3147.50,3157.30,3299500,1468.304
2014-04-15,3332.20,3388.00,3247.50,3259.80,5195500,1515.971
2014-04-14,3235.14,3235.14,3235.14,3235.14,000,1504.503
2014-04-11,3210.00,3255.60,3165.00,3235.14,4669500,1504.503
2014-04-10,3254.50,3257.76,3186.14,3201.20,5315800,1488.719
2014-04-09,3281.06,3309.80,3230.50,3254.56,2666100,1513.534
2014-04-08,3293.40,3293.40,3293.40,3293.40,000,1531.597
2014-04-07,3298.00,3314.44,3256.00,3293.40,1774300,1531.597
2014-04-04,3351.00,3356.00,3306.10,3316.06,981300,1542.135
2014-04-03,3339.50,3348.00,3319.06,3338.14,1175000,1552.403
2014-04-02,3348.80,3350.00,3310.50,3322.06,1411100,1544.925
2014-04-01,3283.06,3325.00,3275.00,3313.94,2157000,1541.149
2014-03-31,3285.30,3304.94,3230.06,3282.80,2294200,1526.667
2014-03-28,3240.10,3279.00,3227.30,3262.60,1786700,1517.273
2014-03-27,3248.00,3262.90,3215.94,3231.06,3399800,1502.606
2014-03-26,3260.00,3268.94,3230.60,3248.90,2114600,1510.902
2014-03-25,3248.00,3279.70,3246.00,3254.40,1887000,1513.46
2014-03-24,3272.20,3318.44,3270.00,3275.80,2040000,1523.412
2014-03-21,3330.00,3338.00,3270.50,3305.64,3095000,1537.289
2014-03-20,3270.00,3349.50,3270.00,3303.06,2005700,1536.089
2014-03-19,3350.00,3357.86,3238.76,3271.76,3944400,1521.533
2014-03-18,3400.00,3411.90,3340.00,3350.56,2951000,1558.179
2014-03-17,3394.14,3394.14,3394.14,3394.14,000,1578.446
2014-03-14,3340.00,3403.90,3335.06,3394.14,2791800,1578.446
2014-03-13,3420.00,3439.90,3340.00,3357.60,10197700,1561.453
2014-03-12,3673.40,3703.36,3652.00,3671.30,985000,1707.34
2014-03-11,3653.00,3708.90,3631.06,3675.36,1031000,1709.228
2014-03-10,3729.70,3729.70,3645.30,3671.60,1858100,1707.479
2014-03-07,3827.00,3834.00,3708.30,3740.30,3768100,1739.428
2014-03-06,3838.00,3849.94,3817.36,3831.90,1556500,1782.027
2014-03-05,3827.90,3844.40,3809.90,3821.70,1235800,1777.283
2014-03-04,3770.00,3824.44,3761.90,3799.56,1734400,1766.987
2014-03-03,3825.00,3849.94,3791.94,3798.24,1801000,1766.373
2014-02-28,3761.10,3837.14,3761.10,3824.86,2459800,1778.753
2014-02-27,3807.50,3807.50,3807.50,3807.50,000,1770.679
2014-02-26,3780.00,3817.80,3772.10,3807.50,1838000,1770.679
2014-02-25,3755.00,3792.10,3755.00,3782.90,2024800,1759.239
2014-02-24,3746.00,3753.70,3730.00,3749.90,1089400,1743.892
2014-02-21,3736.00,3755.40,3727.24,3750.70,1379400,1744.265
2014-02-20,3744.90,3744.90,3706.00,3711.24,2204200,1725.914
2014-02-19,3695.64,3762.00,3695.10,3753.40,1766000,1745.52
2014-02-18,3647.00,3694.60,3647.00,3682.00,1244500,1712.316
2014-02-17,3685.00,3685.00,3648.86,3658.14,3392400,1701.219
2014-02-14,3615.56,3664.00,3603.24,3644.30,1490500,1694.783
2014-02-13,3604.80,3617.94,3580.06,3585.80,897000,1667.578
2014-02-12,3600.50,3627.44,3593.20,3600.10,1052100,1674.228
2014-02-11,3584.00,3622.00,3573.50,3596.24,1458300,1672.433
2014-02-10,3579.90,3586.00,3557.50,3573.80,1512300,1661.997
2014-02-07,3587.00,3601.86,3548.86,3566.56,1887800,1658.63
2014-02-06,3572.00,3583.00,3541.00,3563.70,1437400,1657.30
2014-02-05,3580.00,3589.00,3542.76,3581.24,1081700,1665.457
2014-02-04,3581.00,3591.94,3546.56,3561.10,1133700,1656.091
2014-02-03,3685.00,3692.00,3624.80,3629.14,1096000,1687.733
2014-01-31,3700.00,3739.76,3686.56,3701.10,1342400,1721.198
